"index","id","price","host_response_rate","neighbourhood_cleansed","review_scores_rating","cancellation_policy","property_type","bedrooms"
"502","9407895","28","1","Mission Hill","68","strict","Apartment","1"
"503","13651290","55","1","Mission Hill","95","moderate","Apartment","0"
"504","3198169","110","1","Mission Hill","98","strict","Apartment","1"
"505","10537553","40","1","Mission Hill","67","flexible","Apartment","1"
"506","7113260","90","1","Mission Hill","95","strict","Loft","1"
"508","14092430","74","1","Mission Hill","78","flexible","House","1"
"509","6834270","100","0.31","Mission Hill","85","strict","Apartment","1"
"510","7379913","130",NULL,"Mission Hill","97","flexible","Apartment","1"
"513","4409653","246","0.96","Mission Hill","20","moderate","Apartment","1"
"514","12667158","150","0.94","Mission Hill","48","flexible","Apartment","2"
"515","8337048","45","1","Mission Hill","93","moderate","Apartment","1"
"516","8390386","100","0.89","Mission Hill","90","strict","Apartment","1"
"517","13028092","130","0.88","Mission Hill","96","moderate","Apartment","1"
"518","12608363","60","1","Mission Hill","100","flexible","Apartment","1"
"520","6684904","246","0.96","Mission Hill","100","moderate","Apartment","1"
"628","13059","375","1","North End","94","strict","Boat","3"
"629","369880","140","1","North End","96","strict","Apartment","1"
"631","12826145","159","0.93","North End","100","flexible","Apartment","1"
"632","8555187","84","1","North End","95","flexible","Apartment","1"
"634","10928093","125",NULL,"North End","80","flexible","Apartment","2"
"635","9834727","150","1","North End","93","strict","Condominium","1"
"636","8011545","79","1","North End","98","flexible","Apartment","1"
"637","14204600","320","1","North End","94","strict","Apartment","2"
"638","10106081","180","1","North End","97","strict","Apartment","1"
"639","14461498","150","1","North End","100","strict","Apartment","0"
"640","4553903","125","1","North End","94","strict","Apartment","1"
"641","11648212","145",NULL,"North End","100","flexible","Apartment","1"
"642","916123","125","1","North End","88","strict","Apartment","1"
"644","5782221","285","1","North End","99","flexible","Apartment","2"
"645","13744821","400","0.8","North End","97","moderate","Apartment","2"
"646","12221012","400","1","North End","100","strict","Apartment","2"
"647","2898226","210","1","North End","87","moderate","Apartment","1"
"648","12843196","350","1","North End","100","strict","Apartment","1"
"649","13478348","182","1","North End","98","strict","Apartment","2"
"650","14104621","200","1","North End","100","flexible","Apartment","1"
"652","12269155","200","1","North End","97","flexible","Apartment","1"
"653","13800505","150","1","North End","60","moderate","Apartment","1"
"654","13007124","120","0.8","North End","88","flexible","Apartment","0"
"656","13248823","210","1","North End","100","moderate","Apartment","0"
"657","12957423","159","1","North End","96","moderate","Apartment","1"
"658","13107648","120","1","North End","98","moderate","House","1"
"659","2831504","425","1","North End","90","strict","Boat","2"
"660","2842124","150","1","North End","84","moderate","Apartment","1"
"661","14282764","149","1","North End","80","moderate","Apartment","1"
"662","13709092","115","1","North End","93","flexible","Apartment","0"
"663","9858828","150","0.9","North End","98","strict","Apartment","0"
"665","7582651","220",NULL,"North End","100","flexible","Apartment","2"
"666","11924459","110","1","North End","98","moderate","House","1"
"667","766700","125","1","North End","88","strict","Apartment","1"
"668","13005579","310","1","North End","93","moderate","Apartment","2"
"669","3434614","160","0.9","North End","94","strict","Apartment","1"
"671","4518100","175","0.81","North End","86","flexible","Apartment","1"
"672","4304969","159","1","North End","97","moderate","Apartment","1"
"673","2943804","190","1","North End","94","strict","Boat","2"
